label_index,space_group,crystal_system
0,1,triclinic
1,2,triclinic
2,3,monoclinic
3,4,monoclinic
4,5,monoclinic
5,6,monoclinic
6,7,monoclinic
7,8,monoclinic
8,9,monoclinic
9,10,monoclinic
10,11,monoclinic
11,12,monoclinic
12,13,monoclinic
13,14,monoclinic
14,15,monoclinic
15,16,orthorhombic
16,17,orthorhombic
17,18,orthorhombic
18,19,orthorhombic
19,20,orthorhombic
20,21,orthorhombic
21,22,orthorhombic
22,23,orthorhombic
23,24,orthorhombic
24,25,orthorhombic
25,26,orthorhombic
26,27,orthorhombic
27,28,orthorhombic
28,29,orthorhombic
29,30,orthorhombic
30,31,orthorhombic
31,32,orthorhombic
32,33,orthorhombic
33,34,orthorhombic
34,35,orthorhombic
35,36,orthorhombic
36,37,orthorhombic
37,38,orthorhombic
38,39,orthorhombic
39,40,orthorhombic
40,41,orthorhombic
41,42,orthorhombic
42,43,orthorhombic
43,44,orthorhombic
44,45,orthorhombic
45,46,orthorhombic
46,47,orthorhombic
47,48,orthorhombic
48,49,orthorhombic
49,50,orthorhombic
50,51,orthorhombic
51,52,orthorhombic
52,53,orthorhombic
53,54,orthorhombic
54,55,orthorhombic
55,56,orthorhombic
56,57,orthorhombic
57,58,orthorhombic
58,59,orthorhombic
59,60,orthorhombic
60,61,orthorhombic
61,62,orthorhombic
62,63,orthorhombic
63,64,orthorhombic
64,65,orthorhombic
65,66,orthorhombic
66,67,orthorhombic
67,68,orthorhombic
68,69,orthorhombic
69,70,orthorhombic
70,71,orthorhombic
71,72,orthorhombic
72,73,orthorhombic
73,74,orthorhombic
74,75,tetragonal
75,76,tetragonal
76,77,tetragonal
77,78,tetragonal
78,79,tetragonal
79,80,tetragonal
80,81,tetragonal
81,82,tetragonal
82,83,tetragonal
83,84,tetragonal
84,85,tetragonal
85,86,tetragonal
86,87,tetragonal
87,88,tetragonal
88,89,tetragonal
89,90,tetragonal
90,91,tetragonal
91,92,tetragonal
92,93,tetragonal
93,94,tetragonal
94,95,tetragonal
95,96,tetragonal
96,97,tetragonal
97,98,tetragonal
98,99,tetragonal
99,100,tetragonal
100,101,tetragonal
101,102,tetragonal
102,103,tetragonal
103,104,tetragonal
104,105,tetragonal
105,106,tetragonal
106,107,tetragonal
107,108,tetragonal
108,109,tetragonal
109,110,tetragonal
110,111,tetragonal
111,112,tetragonal
112,113,tetragonal
113,114,tetragonal
114,115,tetragonal
115,116,tetragonal
116,117,tetragonal
117,118,tetragonal
118,119,tetragonal
119,120,tetragonal
120,121,tetragonal
121,122,tetragonal
122,123,tetragonal
123,124,tetragonal
124,125,tetragonal
125,126,tetragonal
126,127,tetragonal
127,128,tetragonal
128,129,tetragonal
129,130,tetragonal
130,131,tetragonal
131,132,tetragonal
132,133,tetragonal
133,134,tetragonal
134,135,tetragonal
135,136,tetragonal
136,137,tetragonal
137,138,tetragonal
138,139,tetragonal
139,140,tetragonal
140,141,tetragonal
141,142,tetragonal
142,143,trigonal
143,144,trigonal
144,145,trigonal
145,146,trigonal
146,147,trigonal
147,148,trigonal
148,149,trigonal
149,150,trigonal
150,151,trigonal
151,152,trigonal
152,153,trigonal
153,154,trigonal
154,155,trigonal
155,156,trigonal
156,157,trigonal
157,158,trigonal
158,159,trigonal
159,160,trigonal
160,161,trigonal
161,162,trigonal
162,163,trigonal
163,164,trigonal
164,165,trigonal
165,166,trigonal
166,167,trigonal
167,168,hexagonal
168,169,hexagonal
169,170,hexagonal
170,171,hexagonal
171,172,hexagonal
172,173,hexagonal
173,174,hexagonal
174,175,hexagonal
175,176,hexagonal
176,177,hexagonal
177,178,hexagonal
178,179,hexagonal
179,180,hexagonal
180,181,hexagonal
181,182,hexagonal
182,183,hexagonal
183,184,hexagonal
184,185,hexagonal
185,186,hexagonal
186,187,hexagonal
187,188,hexagonal
188,189,hexagonal
189,190,hexagonal
190,191,hexagonal
191,192,hexagonal
192,193,hexagonal
193,194,hexagonal
194,195,cubic
195,196,cubic
196,197,cubic
197,198,cubic
198,199,cubic
199,200,cubic
200,201,cubic
201,202,cubic
202,203,cubic
203,204,cubic
204,205,cubic
205,206,cubic
206,207,cubic
207,208,cubic
208,209,cubic
209,210,cubic
210,211,cubic
211,212,cubic
212,213,cubic
213,214,cubic
214,215,cubic
215,216,cubic
216,217,cubic
217,218,cubic
218,219,cubic
219,220,cubic
220,221,cubic
221,222,cubic
222,223,cubic
223,224,cubic
224,225,cubic
225,226,cubic
226,227,cubic
227,228,cubic
228,229,cubic
229,230,cubic
